common_name,introduced,log_10_mass,resident,max_color_contrast,popularity,commonness
Mourning Dove,False,2.08,False,22.5,0.771422820799362,100
Northern Cardinal,False,1.63,True,100,1.13745855056146,95.6839586471931
American Robin,False,1.9,False,50,1.11901656739905,94.4915735236188
American Crow,False,2.65,False,50,-0.126657700980333,94.3956865522187
Blue Jay,False,1.94,False,90,1.28515564491522,79.8312975676057
European Starling,True,1.89,False,55,0.936936772308971,70.8797545052969
Song Sparrow,False,1.38,False,46.5,-0.045890330254172,70.6435891421818
American Goldfinch,False,1.19,False,100,0.369369537395282,70.5362190387697
Red-winged Blackbird,False,1.71,False,52.5,0.499981614946155,69.4551507579243
Mallard,False,2.93,False,90,1.40705035988833,68.82151115762
Canada Goose,False,3.45,False,75,1.26350164145666,67.1526230405378
Downy Woodpecker,False,1.4,True,90,0.227312796594213,65.3198324778306
House Finch,False,1.33,True,80,0.506421815605774,64.1925873469792
Red-bellied Woodpecker,False,1.84,True,80,0.139620416983662,57.7247085426984
Turkey Vulture,False,3.18,False,52.5,0.842431612803128,54.3588728713919
House Sparrow,True,1.42,True,40,0.591994611663675,54.2641511277901
Black-capped Chickadee,False,1.03,True,90,0.500833791327825,53.8195979287512
Tufted Titmouse,False,1.33,True,40,0.627928826854636,53.1757343942168
White-breasted Nuthatch,False,1.32,True,75,-0.205030753327387,49.3460440892128
Dark-eyed Junco,False,1.29,False,75,0.513035311671359,49.278667610877
Great Blue Heron,False,3.4,False,60,1.01020144703694,48.9688673685096
Northern Flicker,False,2.16,False,50,0.319895011734276,48.7304655197818
Northern Mockingbird,False,1.69,False,65,0.178425962794763,46.926166656142
Red-tailed Hawk,False,3.04,False,50,1.13343458656236,44.1338861775416
Carolina Wren,False,1.28,True,40,0.302966952650263,44.0805488147754
Yellow-rumped Warbler,False,1.08,False,55,-0.239394708584013,41.0416159228754
Common Grackle,False,2.02,False,50,0.713582178349342,40.9534720781349
Ring-billed Gull,False,2.71,False,70,-0.588256284151123,37.6393950738679
Double-crested Cormorant,False,3.26,False,55,-0.231365658736215,36.0594213553929
Killdeer,False,1.98,False,75,0.718514090762155,35.2201378426897
Carolina Chickadee,False,1,True,90,-0.325815096035798,35.0985782717341
Gray Catbird,False,1.55,False,25,0.062922052984014,31.7527582069625
Barn Swallow,False,1.25,False,80,0.944990936027024,31.5464940926709
Rock Pigeon,True,2.491362,True,35,0.588652042107086,30.7206858756348
White-throated Sparrow,False,1.39,False,50,-0.191940118858533,30.5385908411591
Chipping Sparrow,False,1.09,False,60,-0.131841710361876,30.001345650167
Brown-headed Cowbird,False,1.61,False,45,-0.03239327347944,29.3112112956431
Tree Swallow,False,1.29,False,60,0.097431486899038,29.1798600523826
Great Egret,False,2.98,False,65,0.526672424903664,28.8752657471139
Eastern Bluebird,False,1.44,False,100,0.434737062383518,28.4256945509437
Common Yellowthroat,False,0.98,False,80,-0.409888621661697,27.9543787005379
Eastern Phoebe,False,1.29,False,75,-0.188077038270691,26.9197127976593
American Coot,False,2.75,False,75,-0.007112833529289,25.0718118615679
Belted Kingfisher,False,2.23,False,70,-0.062296050880336,24.293045018388
Cedar Waxwing,False,1.5,False,70,0.562646575943725,24.1512631069333
Ruby-crowned Kinglet,False,0.81,False,70,-0.244331283685334,23.7992515478735
Common Raven,False,2.97,True,50,1.7301231258374,22.9973305007021
Hairy Woodpecker,False,1.78,True,90,-0.000201,22.8882313495893
Herring Gull,False,3.04,False,65,-0.164229428049354,22.8095220912155
White-crowned Sparrow,False,1.45,False,66.5,-0.062092165808985,21.8834854895309
House Wren,False,1.04,False,7.5,0.401731408965324,21.7140200208688
Eastern Towhee,False,1.602059991,False,85,-0.03125726138357,21.6214783808896
Bald Eagle,False,3.67,False,80,1.89601984197733,21.002159806106
Pied-billed Grebe,False,2.62,False,50,-0.322608830235245,20.4134754460191
Osprey,False,3.22,False,70,1.55330284507196,20.0441358219592
Blue-gray Gnatcatcher,False,0.78,False,60,-0.484502650663747,19.9711775265897
American Kestrel,False,2.06,False,70,0.407984920000103,19.1347694953887
Yellow Warbler,False,1.01,False,100,0.140261848759958,18.5042872865377
Pileated Woodpecker,False,2.47,True,90,0.898650425898074,17.5211357287409
Wood Duck,False,2.82,False,50,1.13378533346921,17.2672288326973
Eurasian Collared-dove,True,2.17,True,40,0.189584488761126,17.1867529386293
Red-shouldered Hawk,False,2.78,False,55,0.466670178065701,17.1392229208577
Bufflehead,False,2.6,False,90,0.472706477782834,16.9241444220921
Red-eyed Vireo,False,1.322219295,False,70,-0.46776681369958,16.538660754827
Snowy Egret,False,2.57,False,75,0.255846080255464,15.7595556197057
Anna's Hummingbird,False,0.63,False,100,-0.267161293968652,15.5788137529957
Black Vulture,False,3.28,True,60,0.608210494893788,14.9800182226592
Chimney Swift,False,1.380211242,False,50,0.541914790897767,14.8661641903696
Spotted Towhee,False,1.61,False,87.5,-0.289372147718474,14.7295882160136
Northern Shoveler,False,2.79,False,90,0.136923150614279,14.7144214606393
Cooper's Hawk,False,2.63,False,50,1.17451582513819,14.6852531776889
Ruby-throated Hummingbird,False,0.49,False,100,0.613591824075278,14.518738366516
Gadwall,False,2.96,False,50,0.523335841307466,14.4621308483159
Indigo Bunting,False,1.17,False,100,0.637036726314356,14.4399539321551
Savannah Sparrow,False,1.33,False,60,-0.441501118094682,13.6485199351682
Red-breasted Nuthatch,False,0.99,False,60,-0.105339995877665,13.6428065601573
Black Phoebe,False,1.27,False,75,-0.262817062166832,13.5069823456712
Lesser Goldfinch,False,0.95,False,100,-0.359045322247552,13.4600349417987
Brown Thrasher,False,1.84,False,50,0.399393018102487,13.4165644273243
Eastern Kingbird,False,1.591064607,False,90,-0.278699763518377,13.3484737771122
Northern Harrier,False,2.59,False,45,0.354694535161544,13.1773356427396
Fish Crow,False,2.45,False,50,-0.441853022923764,12.8094055684357
Baltimore Oriole,False,1.54,False,90,1.07661153888395,12.5699700498867
Green-winged Teal,False,2.53,False,80,0.300722878357244,12.354459289196
Ruddy Duck,False,2.78,False,75,0.279711355994881,12.1294951481418
Great Crested Flycatcher,False,1.53,False,80,-0.350904263769891,12.1255859968185
Ring-necked Duck,False,2.85,False,75,0.193133035633385,11.8271561224827
Eastern Wood-pewee,False,1.15,False,50,-0.288525200630169,11.7733113218043
California Scrub-jay,False,1.94,True,90,0.414820945838032,11.7624671856816
Field Sparrow,False,1.1,False,45,-0.431377208144129,11.7089794709414
Northern Rough-winged Swallow,False,1.16,False,35,-0.856666057256773,11.6150658691997
American Wigeon,False,2.88,False,60,-0.074815713954581,11.5125070289547
Laughing Gull,False,2.49,False,80,-0.062345238484168,11.489070915012
Bewick's Wren,False,1,False,55,-0.583469159881458,10.9625946841556
Hooded Merganser,False,2.79,False,85,0.389319972645023,10.874526015402
American Redstart,False,0.92,False,80,-0.236013774668855,10.8297023331619
Hermit Thrush,False,1.48,False,37.5,0.148849005469046,10.6757607058123
Green Heron,False,2.38,False,70,0.444617858993275,10.643397443415
Golden-crowned Kinglet,False,0.78,False,80,-0.253506571157322,10.4371333291234
Warbling Vireo,False,1.096910013,False,90,-0.592151058183631,10.3107624950007
Pine Siskin,False,1.1,False,50,0.08145597967972,10.3028314283738
Swamp Sparrow,False,1.24,False,30,-0.666091012700159,10.295257447685
Spotted Sandpiper,False,1.62,False,55,-0.492659077076257,10.2948627737533
Common Merganser,False,3.16,False,90,-0.057578901107416,10.2750726951794
Greater Yellowlegs,False,2.21,False,47.5,-0.295458028681765,10.153795034175
Pine Warbler,False,1.07,False,90,-0.233483126447545,9.95410881874468
Great-tailed Grackle,False,2.18,True,52.5,-0.292956662125226,9.83798071284877
Great Black-backed Gull,False,3.22,False,90,-0.421128769043578,9.82478732713282
Orange-crowned Warbler,False,0.96,False,80,-0.342896520180882,9.81149997143312
Blue-winged Teal,False,2.56,False,37.5,0.285080876145203,9.75603888703455
Palm Warbler,False,1.01,False,80,-0.374177269367774,9.68283626970738
Least Sandpiper,False,1.36,False,65,-0.787056480221407,9.57497752237989
Black-and-white Warbler,False,1.04,False,100,-0.310016910223303,9.51756186231969
Northern Parula,False,0.9,False,75,-0.406229197677071,9.12730451988104
White-eyed Vireo,False,1.06,False,80,-0.750991266000609,9.0565827101244
Steller's Jay,False,2.11,True,90,0.282506480473369,9.01961491852426
Wild Turkey,False,3.76,True,40,3.22654599707625,9.010593800086
Eastern Meadowlark,False,1.96,False,90,-0.276854026631976,8.82883705755172
White-winged Dove,False,2.19,False,40,0.469788630074846,8.81763583549088
American Black Duck,False,3.09,False,30,0.476057518948493,8.72191801006155
Brown Pelican,False,3.54,False,37.5,0.609185236896457,8.6920355552348
Bushtit,False,0.7,True,7.5,-0.035547062458221,8.65897691495791
Lesser Scaup,False,2.91,False,80,-0.241643838325716,8.64841468878644
Brown Creeper,False,0.9,False,40,-0.178753360255647,8.58241017221315
Yellow-bellied Sapsucker,False,1.69,False,85,0.338781582335122,8.45669712797659
Common Loon,False,3.7,False,90,0.407389449413017,8.45175430683229
Western Meadowlark,False,2,False,90,0.360619411274653,8.4028523272982
Common Goldeneye,False,2.96,False,90,-0.351664209128946,8.37990485727087
American Tree Sparrow,False,1.26,False,44,-0.652520745521226,8.34671465901675
Brewer's Blackbird,False,1.8,False,52.5,-0.600438046201481,8.27091847013859
Cliff Swallow,False,1.380211242,False,60,-0.081516297804008,8.24156224722074
Ovenbird,False,1.27,False,90,0.042345783873345,8.22295619044182
Rose-breasted Grosbeak,False,1.62,False,80,0.501217414485439,8.09325881889503
White Ibis,False,2.95,False,65,0.039265351954764,8.02913370199637
Red-breasted Merganser,False,3.01,False,75,-0.249781556517099,7.89573391309054
Purple Finch,False,1.37,False,80,0.575743477861677,7.83933312885464
California Towhee,False,1.69,True,20,-0.552301136122712,7.71628883215607
Northern Pintail,False,2.98,False,27.5,0.955952313737387,7.65073537150469
Wood Thrush,False,1.65,False,60,0.325757706881725,7.5618397668943
Sandhill Crane,False,3.63,False,50,1.2263649370145,7.47642105168198
Little Blue Heron,False,2.53,False,50,-0.099727064358768,7.25756495957035
American White Pelican,False,3.75,False,75,-0.202926287771143,7.21907485423376
Willet,False,2.39,False,50,0.029820362383501,7.20638890642995
Purple Martin,False,1.698970004,False,50,1.14424760932855,7.20005532952642
Marsh Wren,False,1.03,False,30,-0.339219769726083,7.0837580776598
Forster's Tern,False,2.17,False,75,-1.21413296239965,7.04594455620607
Black-billed Magpie,False,2.34,True,90,-0.197610661412345,6.94639275544048
Black-crowned Night-heron,False,2.91,False,80,0.223198730794001,6.90617360240322
Horned Lark,False,1.52,False,70,-0.13061213158459,6.89012352918181
Scarlet Tanager,False,1.397940009,False,90,0.532377352732473,6.56295763382077
Fox Sparrow,False,1.54,False,55,-0.226052686607025,6.54831711035534
Loggerhead Shrike,False,1.71,False,90,0.083951500111612,6.4606994975237
Sharp-shinned Hawk,False,2.12,False,50,0.577794362039218,6.45804954398246
Mute Swan,True,4.03,True,60,0.477201769181931,6.37684068404134
Lesser Yellowlegs,False,1.89,False,40,-0.784287554182179,6.30264198488662
Wilson's Warbler,False,0.88,False,100,-0.740142398990334,6.26650112914332
Chestnut-backed Chickadee,False,1,True,75,-0.733316315936059,6.16837767213045
Lincoln's Sparrow,False,1.26,False,32.5,-0.902575745121359,6.13689772758026
Boat-tailed Grackle,False,2.18,True,55,-0.465223217932996,6.07215240878897
California Gull,False,2.84,False,90,-0.156489961838765,6.07198326281825
Say's Phoebe,False,1.32,False,30,-0.845162675843973,6.06886345935835
Black-throated Green Warbler,False,0.94,False,80,-0.55324681557832,6.04358553373447
Golden-crowned Sparrow,False,1.5,False,40,-0.645411659498008,6.00094195511693
Redhead,False,3.03,False,50,0.78307262585737,5.86419683479024
Caspian Tern,False,2.81,False,90,-0.336555323687009,5.85072153912308
Swainson's Thrush,False,1.544068044,False,42.5,-0.693358984191356,5.79610618457809
Acorn Woodpecker,False,1.9,True,80,-0.051145355835907,5.72987614004384
Horned Grebe,False,2.66,False,40,-0.500269925737254,5.61513878990717
Western Bluebird,False,1.42,False,100,0.056633777307849,5.59786710689724
Violet-green Swallow,False,1.15,False,70,-0.509785994818313,5.57781391236885
Tricolored Heron,False,2.5,False,55,-0.190399586274396,5.56807862205422
Western Gull,False,2.97,False,90,-0.602091726273666,5.55031829512889
Western Kingbird,False,1.62,False,80,-0.2501937644201,5.45138669625593
Red-headed Woodpecker,False,1.86,False,90,0.841060316665497,5.44633111113115
Black-necked Stilt,False,2.22,False,90,-0.295081050669416,5.43937733233499
Common Gallinule,False,2.602059991,False,55,0.064748133318356,5.43558094499222
Black-bellied Plover,False,2.4,False,85,-0.691193672642927,5.35598836877129
Semipalmated Plover,False,1.67,False,85,-0.740957206954304,5.1990209079455
Magnolia Warbler,False,0.91,False,85,-0.379802212308729,5.176900373775
Cattle Egret,True,2.58,False,52.5,0.227372153107542,5.07774324694109
Sanderling,False,1.71,False,60,0.544816242474558,5.02737533566078
Black-headed Grosbeak,False,1.62,False,75,-0.145746106202039,5.01717019542749
Great Horned Owl,False,3.18,True,45,1.35032279884286,5.01649361154462
Anhinga,False,3.13,False,65,0.681847477466055,4.9992219285347
